date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2020/7/24,90.987503,92.970001,89.144997,92.614998,185438800,92.289093
2020/7/23,96.997498,97.077499,92.010002,92.845001,197004400,92.518288
2020/7/22,96.692497,97.974998,96.602501,97.272499,89001600,96.930199
2020/7/21,99.172501,99.25,96.7425,97,103646000,96.658661
2020/7/20,96.417503,98.5,96.0625,98.357498,90318000,98.011391
2020/7/17,96.987503,97.147499,95.839996,96.327499,92186800,95.988533
2020/7/16,96.5625,97.404999,95.904999,96.522499,110577600,96.182846
2020/7/15,98.989998,99.247498,96.489998,97.724998,153198000,97.381111
2020/7/14,94.839996,97.254997,93.877502,97.057503,170989200,96.715965
2020/7/13,97.264999,99.955002,95.2575,95.477501,191649200,95.141525
2020/7/10,95.334999,95.980003,94.705002,95.919998,90257200,95.582466
2020/7/9,96.262497,96.317497,94.672501,95.752502,125642800,95.415558
2020/7/8,94.18,95.375,94.089996,95.342499,117092000,95.006996
2020/7/7,93.852501,94.654999,93.057503,93.172501,112424400,92.844635
2020/7/6,92.5,93.945,92.467499,93.462502,118655600,93.133614
2020/7/2,91.962502,92.6175,90.910004,91.027496,114041600,90.707176
2020/7/1,91.279999,91.839996,90.977501,91.027496,110737200,90.707176
2020/6/30,90.019997,91.495003,90,91.199997,140223200,90.879066
2020/6/29,88.3125,90.542503,87.82,90.445,130646000,90.126732
2020/6/26,91.102501,91.330002,88.254997,88.407501,205256800,88.096405
2020/6/25,90.175003,91.25,89.392502,91.209999,137522400,90.889038
2020/6/24,91.25,92.197502,89.629997,90.014999,192623200,89.698242
2020/6/23,91,93.095001,90.567497,91.6325,212155600,91.310051
2020/6/22,87.834999,89.864998,87.787498,89.717499,135445200,89.401787
2020/6/19,88.660004,89.139999,86.287498,87.43,264476000,87.122337
2020/6/18,87.852501,88.362503,87.305,87.932503,96820400,87.623077
2020/6/17,88.787498,88.849998,87.772499,87.897499,114406400,87.588196
2020/6/16,87.864998,88.300003,86.18,88.019997,165428800,87.710258
2020/6/15,83.3125,86.419998,83.144997,85.747498,138808800,85.445755
2020/6/12,86.18,86.949997,83.555,84.699997,200146000,84.401947
2020/6/11,87.327499,87.764999,83.870003,83.974998,201662400,83.679497
2020/6/10,86.974998,88.692497,86.522499,88.209999,166651600,87.89959
