date,AMZN.Open,AMZN.High,AMZN.Low,AMZN.Close,AMZN.Volume,AMZN.Adjusted
2020/9/8,3144,3250.850098,3130,3149.840088,6094200,3149.840088
2020/9/4,3318,3381.5,3111.129883,3294.620117,8781800,3294.620117
2020/9/3,3485,3488.409912,3303,3368,8161100,3368
2020/9/2,3547,3552.25,3486.689941,3531.449951,3931500,3531.449951
2020/9/1,3489.580078,3513.870117,3467,3499.120117,3476400,3499.120117
2020/8/31,3408.98999,3495,3405,3450.959961,4185900,3450.959961
2020/8/28,3423,3433.370117,3386.5,3401.800049,2897000,3401.800049
2020/8/27,3450.050049,3453,3378,3400,4264800,3400
2020/8/26,3351.110107,3451.73999,3344.570068,3441.850098,6508700,3441.850098
2020/8/25,3294.98999,3357.399902,3267,3346.48999,3992800,3346.48999
2020/8/24,3310.149902,3380.320068,3257.560059,3307.459961,4666300,3307.459961
2020/8/21,3295,3314.399902,3275.389893,3284.719971,3575900,3284.719971
2020/8/20,3252,3312.620117,3238,3297.370117,3332500,3297.370117
2020/8/19,3303.01001,3315.899902,3256,3260.47998,4185100,3260.47998
2020/8/18,3212,3320,3205.820068,3312.48999,5346000,3312.48999
2020/8/17,3173.120117,3194.969971,3154.179932,3182.409912,2691200,3182.409912
2020/8/14,3178.179932,3178.23999,3120,3148.02002,2751700,3148.02002
2020/8/13,3182.98999,3217.52002,3155,3161.02002,3149000,3161.02002
2020/8/12,3108,3174.389893,3101.419922,3162.23999,3527200,3162.23999
2020/8/11,3113.199951,3159.219971,3073,3080.669922,3718100,3080.669922
2020/8/10,3170.310059,3172.51001,3101.52002,3148.159912,3167300,3148.159912
2020/8/7,3224.01001,3240.810059,3140.669922,3167.459961,3929600,3167.459961
2020/8/6,3194.360107,3247.469971,3165.429932,3225,3940600,3225
2020/8/5,3143.77002,3213.590088,3127.300049,3205.030029,3930000,3205.030029
2020/8/4,3101.209961,3167.23999,3101.209961,3138.830078,4694300,3138.830078
2020/8/3,3180.51001,3184,3104,3111.889893,5074700,3111.889893
2020/7/31,3244,3246.820068,3151,3164.679932,8085500,3164.679932
2020/7/30,3014,3092,3005,3051.879883,6128300,3051.879883
2020/7/29,3030.98999,3039.159912,2996.77002,3033.530029,2974100,3033.530029
2020/7/28,3054.27002,3077.090088,2995.76001,3000.330078,3126700,3000.330078
2020/7/27,3062,3098,3015.77002,3055.209961,4170500,3055.209961
2020/7/24,2930,3031.580078,2888,3008.909912,5632400,3008.909912
2020/7/23,3098.27002,3098.27002,2970,2986.550049,5656900,2986.550049
2020/7/22,3125,3150,3065.26001,3099.909912,4104200,3099.909912
2020/7/21,3232.48999,3240.580078,3105.719971,3138.290039,6135000,3138.290039
2020/7/20,3000.199951,3201.360107,2994.02002,3196.840088,7598200,3196.840088
2020/7/17,3009,3024,2948.449951,2961.969971,4761300,2961.969971
2020/7/16,2971.060059,3032,2918.22998,2999.899902,6394200,2999.899902
2020/7/15,3080.22998,3098.350098,2973.179932,3008.870117,5788900,3008.870117
2020/7/14,3089,3127.379883,2950,3084,7231900,3084
2020/7/13,3251.060059,3344.290039,3068.389893,3104,7720400,3104
2020/7/10,3191.76001,3215,3135.699951,3200,5486000,3200
2020/7/9,3115.98999,3193.879883,3074,3182.629883,6388700,3182.629883
2020/7/8,3022.610107,3083.969971,3012.429932,3081.110107,5037600,3081.110107
2020/7/7,3058.550049,3069.550049,2990,3000.120117,5257500,3000.120117
2020/7/6,2934.969971,3059.879883,2930,3057.040039,6880600,3057.040039
2020/7/2,2912.01001,2955.560059,2871.100098,2890.300049,6593400,2890.300049
2020/7/1,2757.98999,2895,2754,2878.699951,6363400,2878.699951
2020/6/30,2685.070068,2769.629883,2675.030029,2758.820068,3769700,2758.820068
2020/6/29,2690.01001,2696.800049,2630.080078,2680.379883,4223400,2680.379883
2020/6/26,2775.060059,2782.570068,2688,2692.870117,6500800,2692.870117
2020/6/25,2739.550049,2756.22998,2712.139893,2754.580078,2968700,2754.580078
2020/6/24,2780,2796,2721,2734.399902,4526600,2734.399902
2020/6/23,2726.02002,2783.110107,2718.040039,2764.409912,4231700,2764.409912
2020/6/22,2684.5,2715,2669,2713.820068,3208800,2713.820068
2020/6/19,2678.080078,2697.429932,2659,2675.01001,5777000,2675.01001
2020/6/18,2647.01001,2659.639893,2636.110107,2653.97998,2487800,2653.97998
2020/6/17,2647.5,2655,2631.820068,2640.97998,2951100,2640.97998
2020/6/16,2620,2620,2576,2615.27002,3585600,2615.27002
2020/6/15,2526.600098,2584,2508,2572.679932,3865100,2572.679932
2020/6/12,2601.209961,2621.47998,2503.350098,2545.02002,5429600,2545.02002
2020/6/11,2603.5,2671.379883,2536.22998,2557.959961,5800100,2557.959961
2020/6/10,2645,2722.350098,2626.26001,2647.449951,4946000,2647.449951
2020/6/9,2529.439941,2626.429932,2525,2600.860107,5176000,2600.860107
2020/6/8,2500.199951,2530,2487.340088,2524.060059,3970700,2524.060059
2020/6/5,2444.51001,2488.649902,2437.129883,2483,3306400,2483
2020/6/4,2477.429932,2507.540039,2450.01001,2460.600098,2948700,2460.600098
2020/6/3,2468.01001,2488,2461.169922,2478.399902,2671000,2478.399902
2020/6/2,2467,2473.530029,2445.310059,2472.409912,2529900,2472.409912
2020/6/1,2448,2476.929932,2444.169922,2471.040039,2928900,2471.040039
2020/5/29,2415.939941,2442.370117,2398.199951,2442.370117,3529300,2442.370117
2020/5/28,2384.330078,2436.969971,2378.22998,2401.100098,3190200,2401.100098
2020/5/27,2404.98999,2413.580078,2330,2410.389893,5049900,2410.389893
2020/5/26,2458,2462,2414.060059,2421.860107,3568200,2421.860107
2020/5/22,2455.01001,2469.850098,2430.129883,2436.879883,2867100,2436.879883
2020/5/21,2500,2525.449951,2442.540039,2446.73999,5114400,2446.73999
2020/5/20,2477.870117,2500.01001,2467.27002,2497.939941,3998100,2497.939941
2020/5/19,2429.830078,2485,2428.969971,2449.330078,4320500,2449.330078
2020/5/18,2404.350098,2433,2384.01001,2426.26001,4366600,2426.26001
2020/5/15,2368.52002,2411,2356.370117,2409.780029,4235000,2409.780029
2020/5/14,2361.01001,2391.370117,2353.209961,2388.850098,3648100,2388.850098
2020/5/13,2366.800049,2407.699951,2337.800049,2367.919922,4782900,2367.919922
2020/5/12,2411.850098,2419,2355,2356.949951,3074900,2356.949951
2020/5/11,2374.699951,2419.669922,2372.110107,2409,3259200,2409
2020/5/8,2372.139893,2387.23999,2357,2379.610107,3211200,2379.610107
2020/5/7,2374.780029,2376,2343.110107,2367.610107,3396400,2367.610107
2020/5/6,2329.439941,2357.449951,2320,2351.26001,3117800,2351.26001
2020/5/5,2340,2351,2307.129883,2317.800049,3242500,2317.800049
2020/5/4,2256.379883,2326.97998,2256.379883,2315.98999,4865900,2315.98999
2020/5/1,2336.800049,2362.439941,2258.189941,2286.040039,9772600,2286.040039
2020/4/30,2419.840088,2475,2396.01001,2474,9534600,2474
2020/4/29,2330.01001,2391.889893,2310,2372.709961,4591600,2372.709961
2020/4/28,2372.100098,2373.5,2306,2314.080078,5269400,2314.080078
2020/4/27,2443.199951,2444.879883,2363,2376,5645600,2376
2020/4/24,2417,2420.429932,2382,2410.219971,3831800,2410.219971
2020/4/23,2399.97998,2424.219971,2382.080078,2399.449951,5066600,2399.449951
2020/4/22,2369,2394,2351,2363.48999,4218300,2363.48999
2020/4/21,2416.610107,2428.310059,2279.659912,2328.120117,7476700,2328.120117
2020/4/20,2389.949951,2444.97998,2386.050049,2393.610107,5770700,2393.610107
2020/4/17,2372.330078,2400,2316.02002,2375,7930000,2375
2020/4/16,2346,2461,2335,2408.189941,12038200,2408.189941
2020/4/15,2257.679932,2333.370117,2245,2307.679932,6866600,2307.679932
2020/4/14,2200.469971,2292,2186.209961,2283.320068,8087200,2283.320068
2020/4/13,2040,2180,2038,2168.870117,6716700,2168.870117
2020/4/9,2044.300049,2053,2017.660034,2042.76001,4655600,2042.76001
2020/4/8,2021,2044,2011.150024,2043,3977300,2043
2020/4/7,2017.109985,2035.719971,1997.619995,2011.599976,5114000,2011.599976
2020/4/6,1936,1998.52002,1930.02002,1997.589966,5773200,1997.589966
2020/4/3,1911.150024,1926.329956,1889.150024,1906.589966,3609900,1906.589966
2020/4/2,1901.640015,1927.530029,1890,1918.829956,4336000,1918.829956
2020/4/1,1932.969971,1944.959961,1893,1907.699951,4121900,1907.699951
2020/3/31,1964.349976,1993.02002,1944.01001,1949.719971,5123600,1949.719971
2020/3/30,1922.829956,1973.630005,1912.339966,1963.949951,6126100,1963.949951
2020/3/27,1930.859985,1939.790039,1899.920044,1900.099976,5387900,1900.099976
2020/3/26,1902,1956.48999,1889.290039,1955.48999,6221300,1955.48999
2020/3/25,1920.689941,1950.26001,1885.780029,1885.839966,6479100,1885.839966
2020/3/24,1951.5,1955,1900.339966,1940.099976,7147100,1940.099976
2020/3/23,1827.75,1919.400024,1812,1902.829956,7808500,1902.829956
2020/3/20,1926.310059,1957,1820.72998,1846.089966,9817900,1846.089966
2020/3/19,1860,1945,1832.650024,1880.930054,10399900,1880.930054
2020/3/18,1750,1841.660034,1745,1830,9645200,1830
2020/3/17,1775.469971,1857.780029,1689.23999,1807.839966,10917100,1807.839966
2020/3/16,1641.51001,1759.449951,1626.030029,1689.150024,8917300,1689.150024
2020/3/13,1755,1786.310059,1680.619995,1785,8809700,1785
2020/3/12,1721.97998,1765,1675,1676.609985,11346200,1676.609985
2020/3/11,1857.849976,1871.319946,1801.5,1820.859985,5624800,1820.859985
2020/3/10,1870.880005,1894.27002,1818.170044,1891.819946,7133300,1891.819946
2020/3/9,1773.859985,1862.77002,1761.290039,1800.609985,7813200,1800.609985
2020/3/6,1875,1910.869995,1869.5,1901.089966,5273600,1901.089966
2020/3/5,1933,1960.719971,1910,1924.030029,4748200,1924.030029
2020/3/4,1946.569946,1978,1922,1975.829956,4772900,1975.829956
2020/3/3,1975.369995,1996.329956,1888.089966,1908.98999,7534500,1908.98999
2020/3/2,1906.48999,1954.51001,1870,1953.949951,6761700,1953.949951
2020/2/28,1814.630005,1889.76001,1811.130005,1883.75,9493800,1883.75
2020/2/27,1934.380005,1975,1882.76001,1884.300049,8144000,1884.300049
2020/2/26,1970.280029,2014.670044,1960.449951,1979.589966,5224600,1979.589966
2020/2/25,2026.420044,2034.599976,1958.420044,1972.73999,6219100,1972.73999
2020/2/24,2003.180054,2039.300049,1987.969971,2009.290039,6547000,2009.290039
2020/2/21,2142.149902,2144.550049,2088,2095.969971,4646300,2095.969971
2020/2/20,2173.070068,2176.790039,2127.449951,2153.100098,3131300,2153.100098
2020/2/19,2167.800049,2185.100098,2161.120117,2170.219971,2561200,2170.219971
2020/2/18,2125.02002,2166.070068,2124.110107,2155.669922,2945600,2155.669922
2020/2/14,2155.679932,2159.040039,2125.889893,2134.870117,2606200,2134.870117
2020/2/13,2144.98999,2170.280029,2142,2149.870117,3031800,2149.870117
2020/2/12,2163.199951,2180.25,2155.290039,2160,3334300,2160
2020/2/11,2150.899902,2185.949951,2136,2150.800049,5746000,2150.800049
2020/2/10,2085.01001,2135.600098,2084.959961,2133.909912,5056200,2133.909912
2020/2/7,2041.98999,2098.530029,2038.099976,2079.280029,5095300,2079.280029
2020/2/6,2041.02002,2056.300049,2024.800049,2050.22998,3183000,2050.22998
2020/2/5,2071.02002,2071.02002,2032,2039.869995,4376200,2039.869995
2020/2/4,2029.880005,2059.800049,2015.369995,2049.669922,5289300,2049.669922
2020/2/3,2010.599976,2048.5,2000.25,2004.199951,5899100,2004.199951
2020/1/31,2051.469971,2055.719971,2002.27002,2008.719971,15567300,2008.719971
2020/1/30,1858,1872.869995,1850.609985,1870.680054,6327400,1870.680054
2020/1/29,1864,1874.75,1855.02002,1858,2088000,1858
2020/1/28,1840.5,1858.109985,1830.02002,1853.25,2808000,1853.25
2020/1/27,1820,1841,1815.339966,1828.339966,3528500,1828.339966
2020/1/24,1891.369995,1894.98999,1847.439941,1861.640015,3766200,1861.640015
2020/1/23,1885.109985,1889.97998,1872.76001,1884.579956,2484600,1884.579956
2020/1/22,1896.089966,1902.5,1883.339966,1887.459961,3216300,1887.459961
2020/1/21,1865,1894.27002,1860,1892,3707800,1892
2020/1/17,1885.890015,1886.640015,1857.25,1864.719971,3997300,1864.719971
2020/1/16,1882.98999,1885.589966,1866.02002,1877.939941,2659500,1877.939941
2020/1/15,1872.25,1878.859985,1855.089966,1862.02002,2896600,1862.02002
2020/1/14,1885.880005,1887.109985,1858.550049,1869.439941,3440900,1869.439941
2020/1/13,1891.310059,1898,1880.800049,1891.300049,2780800,1891.300049
2020/1/10,1905.369995,1906.939941,1880,1883.160034,2853700,1883.160034
2020/1/9,1909.890015,1917.819946,1895.800049,1901.050049,3167300,1901.050049
2020/1/8,1898.040039,1911,1886.439941,1891.969971,3508000,1891.969971
2020/1/7,1904.5,1913.890015,1892.040039,1906.859985,4044900,1906.859985
2020/1/6,1860,1903.689941,1860,1902.880005,4061800,1902.880005
2020/1/3,1864.5,1886.199951,1864.5,1874.969971,3764400,1874.969971
2020/1/2,1875,1898.01001,1864.150024,1898.01001,4029000,1898.01001
